(697,'190040','Digital Design','M.Morris Mano  Michael D.Ciletti',1,1,PEARSON education,,175,'CSE','No','CSE','E3',NULL),
(698,'190041','Digital Design','M.Morris Mano Michael D.Ciletti  ',1,1,'Pearson','1',175,'CSE','No','CSE','E3',NULL),
(699,'190042','Digital Design','M.Morris Mano Michael D.Ciletti  ',1,1,'Pearson Publication','5',175,'CSE','No','CSE','E3',NULL),
(700,'190043','Digital Electronics','S.Salivahanan S.Arivazhagan',1,1,'Vikas Publishing House','1',175,'Digital Electronics','Yes','CSE','E3',NULL),
(701,'190044','Digital Image Processing','I Poornima Thangam',1,1,'Charulatha Publications','1',200,'Image Processing','Yes','CSE','E3',NULL),
(702,'190045','Digital Integrated Circuits','Jan M.Rabaey Anantha Chandrakasan Borivoje Nikolic',1,1,'Pearson Education','2',200,'CSE','Yes','CSE','E3',NULL),
(703,'190046','Digital Signal Processing','John G.Proakis Dimitris G.Manolakis  ',1,1,'Pearson','4',300,'CSE','Yes','CSE','E3',NULL),
(704,'190047','Digital Signal Processing','John G.Proakis Dimitris G.Manolakis  ',1,1,'Pearson Education','4',300,'CSE','Yes','CSE','E3',NULL),
(705,'190048','Digital Signal Processing','P.Ramesh Babu',1,1,Scitech Publications,,300,'Digital Signal Processing','Yes','CSE','E3',NULL),
(706,'190049','Digital Signal Processing','S.Salivahanan A.Vallavaraj C.Gnanapriya',1,1,'Tata McGraw Hill','7',300,'CSE','Yes','CSE','E3',NULL),
(707,'190050','Digital Signal Processing','S.Salivahanan C.Gnanapriya',1,1,'McGraw Hill Education','2',300,'CSE','Yes','CSE','E3',NULL),
(708,'190051','Electronic Devices','G.Nagarajan',1,1,'Lakshmi Publications','1',260,'CSE','Yes','CSE','E3',NULL),
(709,'190052','Fundamentals of Computing and Programming','V.Ramesh Babu R.Samyuktha M.Muni Rathnam ',1,1,'VRB Publications','18',250,'CSE','No','CSE','E3',NULL),
(710,'190053','Fundamentals of Computing and Programming in C','Pradip Dey Manas Ghosh ',1,1,Oxford Higher Education,,250,'CSE','No','CSE','E3',NULL),
(711,'190054','Fundamentals of Computing and Programming in C','Pradip Dey Manas Ghosh ',1,1,Oxford Higher Education,,250,'CSE','No','CSE','E3',NULL),
(712,'190055','Fundamentals of Computing C Programming and MS office','Alexis Leon  Mathews Leon  A chitra Suganthi Jeyaraj',1,1,'Vijay Nicolc','3',250,'CSE','E3','CSE','D2',NULL),
(713,'190056','Graph Theory and Combinatorics','D.S.Chandrasekharaiah',1,1,'Prism Books','3',200,'CSE','No','CSE','E3',NULL),
(714,'190057','Infomatics Practices','Sumitha Arora',1,1,'Dhanpat Rai & CO','5',150,'CSE','No','CSE','E3',NULL),
(715,'190058','Internet Worls Wide web How to program ','P.J.Deital H.M.Deital',1,1,'Pearson','4',200,'CSE','yes','CSE','E3',NULL),
(716,'190059','Introduction to Algorithms','Thomas H Cormen Charles E Leiserson Ronald L Rivest Clifford Stein',1,1,'Prentice Hall','2',250,'Algorithms','yes','CSE','E3',NULL),
(717,'190060','Introduction to Automata Theory','Languages and Computation John E.Hopcroft  Jeffrey D.Ullman',1,1,'Narosa Publications','19',230,'Theory of Computation','No','CSE','E3',NULL),
(718,'190061','Introduction to Automata Theory','Languages and Computation John E.Hopcroft Rajeev Motwani Jeffrey D.Ullman',1,1,'PEARSON education','3',230,'Theory of Computation','No','CSE','E3',NULL),
(719,'190062','Java how to program','Deitel  Deitel',1,1,'PEARSON education','7',600,'Java','No','CSE','E3',NULL),
(720,'190063','Java How to Program','Paul Deitel Harvey Deitel  ',1,1,Pearson Publication,10,795,,'No','CSE','E3',NULL),
(721,'190064','Java How to Program','Paul Deitel Harvey Deitel  ',1,1,'PHI Learing','10',795,'CSE','No','CSE','E3',NULL),
(722,'190065','Javascript','Jeff Frentzen Hemry Sobotka',1,1,'Tata McGraw Hill','1',350,'CSE','No','CSE','E3',NULL),
(723,'190066','JSP 2.0','Phil Hanna',1,1,'Tata McGraw Hill','1',300,'CSE','No','CSE','E3',NULL),
(724,'190067','Let us C','Yashavant Kanetkar ',1,1,'BPB Publications','11',250,'C','No','CSE','E3',NULL),
(725,'190068','Let us C','Yashavant Kanetkar ',1,1,'BPB Publications','13',250,'C','No','CSE','E3',NULL),
(726,'190069','Let Us C','Yashavant Kanetkar   ',1,1,'BPB Publications','12',250,'CSE','No','CSE','E3',NULL),
(727,'190070','Let us C++','Yashavant Kanetkar ',1,1,'BPB Publications','2',250,'C++','No','CSE','E4',NULL),
(728,'190071','Machine Learning','Tom M.Mitchell',1,1,Mc Graw Hill Education,,500,'Machine Learning','No','CSE','E4',NULL),
(729,'190072','Microprocessors and Micro Controllers','J S Leena Jasmine',1,1,'Magnus Publications','1',300,'Embedded Systems','No','CSE','E4',NULL),
(730,'190073','MSOffice','BDPS Software',1,1,BDPS Software Limited,,250,'MSOffice','No','CSE','E4',NULL),
(731,'190074','Network Fundamendals','Mark A.Dye ',1,1,'Pearson','5',250,'CSE','No','CSE','E4',NULL),
(732,'190075','Operating Systems','Bharathi Ashok',1,1,'Magnus Publications','1',280,'Operating Systems','No','CSE','E4',NULL),
(733,'190076','Operating Systems concepts','Abraham Silberchatz Henry F.Korth S.Sudarshan ',1,1,'Wiley','9',280,'CSE','No','CSE','E4',NULL),
(734,'190077','Operating Systems concepts','Abraham Silberchatz Henry F.Korth S.Sudarshan ',1,1,'Wiley','9',280,'CSE','No','CSE','E4',NULL),
(735,'190078','Operating Systems concepts','Abraham Silberchatz Peter B.Galvin Gerg Gagne',1,1,'Wiley','9',280,'CSE','No','CSE','E4',NULL),
(736,'190079','Operating Systems Concepts','Silberchatz Galvin Gagne',1,1,'Wiley','6',280,'Operating Systems','No','CSE','E4',NULL),
(737,'190080','Operating Systems Concepts','Silberchatz Galvin Gagne',1,1,Wiley,,280,'Operating Systems','No','CSE','E4',NULL),
(738,'190081','Programming in C','Pradip Dey Manas Ghosh ',1,1,'Oxford Education','2',150,'C','Yes','CSE','E4',NULL),
(739,'190082','Software Engineering','Roger S.Pressman   ',1,1,Tata McGraw Hill Education,6,,'CSE','No','CSE','E4',NULL),
