"42","180105","Engineering Chemistry  1","A.Sheik Mideen   ","1","1","J B Publications","14","330","Chemistry","No","Chemistry",""
"43","180106","Engineering Chemistry","B.Sivasankar   ","1","1","Tata McGraw Hill Publishing Company","1","","Chemistry","Yes","Chemistry",""
"44","180107","Applied Chemistry","P.N.Palanisamy A.Geetha K.Manjula Rani ","1","1","Tata McGraw Hill Education","1","","Chemistry","Yes","Chemistry",""
"45","180108","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","15","425","Chemistry","Yes","Chemistry",""
"46","180109","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","15","425","Chemistry","No","Chemistry",""
"47","180110","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","15","425","Chemistry","No","Chemistry",""
"48","180111","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","16","525","Chemistry","Yes","Chemistry",""
"49","180112","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","16","525","Chemistry","No","Chemistry",""
"50","180113","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","16","525","Chemistry","No","Chemistry",""
"51","180114","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","16","525","Chemistry","No","Chemistry",""
"52","180115","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","16","525","Chemistry","No","Chemistry",""
"53","180116","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","16","525","Chemistry","No","Chemistry",""
"54","180117","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","16","525","Chemistry","No","Chemistry",""
"55","180118","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","16","525","Chemistry","No","Chemistry",""
"56","180119","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","16","525","Chemistry","No","Chemistry",""
"57","180120","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","16","525","Chemistry","No","Chemistry",""
"58","180121","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","16","525","Chemistry","No","Chemistry",""
"59","180122","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","16","525","Chemistry","No","Chemistry",""
"60","180123","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","16","475","Chemistry","No","Chemistry",""
"61","180124","Engineering Chemistry","P.C.Jain Monika Jain  ","1","1","Dhanpat Rai Publishing Company","16","510","Chemistry","No","Chemistry",""
